Mean Precision,Max Precision,Min Precision
0.703614852909661,0.803030303030303,0.6133333333333333
0.5694307831905538,0.7551020408163265,0.3875968992248062
0.50084706363941,0.5899280575539568,0.391304347826087
0.49287284810745297,0.5944055944055944,0.3931034482758621
0.5021354048341621,0.5958904109589042,0.37857142857142856
0.49934207381962237,0.6137931034482759,0.4090909090909091
0.5007424051276069,0.5870967741935483,0.41353383458646614
0.5042800016430767,0.6642857142857143,0.41843971631205673
0.6918031479612128,1.0,0.45664739884393063
0.5203141052193835,1.0,0.40939597315436244
0.8359977295897743,1.0,0.4620253164556962
0.8444769106038585,1.0,0.4326241134751773
0.6516787763961152,1.0,0.4411764705882353
0.6770573877649315,1.0,0.4421768707482993
0.6614638059140898,1.0,0.41216216216216217
0.6701675513010598,1.0,0.4230769230769231
0.6542101689160513,0.8116883116883117,0.49673202614379086
0.6673625359361317,1.0,0.41044776119402987
