Mean Precision,Max Precision,Min Precision
0.7098812506253661,1.0,0.4276315789473684
0.8481549167760802,1.0,0.7015706806282722
0.5,0.5,0.5
0.6860225153274652,1.0,0.4057971014492754
0.6947166822355308,1.0,0.4539877300613497
0.6609258829472673,1.0,0.43448275862068964
0.6795778339244736,1.0,0.43884892086330934
0.7050261544234497,1.0,0.43870967741935485
0.6025991692332795,0.8263473053892215,0.5
0.5301975255770246,0.593103448275862,0.45161290322580644
0.6710287381027332,1.0,0.4294478527607362
0.6630804057248043,1.0,0.4263565891472868
0.708500656449256,1.0,0.4722222222222222
0.6876466922933666,1.0,0.4580152671755725
0.6804832555777988,1.0,0.4473684210526316
0.6981080565768992,1.0,0.4713375796178344
0.6639312924316556,1.0,0.4503311258278146
0.6895903676570951,1.0,0.44366197183098594
0.6985733064184216,1.0,0.4276315789473684
0.6696544497471102,0.9888888888888889,0.4421768707482993
0.6944444444444444,0.6944444444444444,0.6944444444444444
0.5276073619631901,0.5276073619631901,0.5276073619631901
0.9772727272727273,0.9772727272727273,0.9772727272727273
0.6615444463943224,1.0,0.46794871794871795
0.6674433049059008,1.0,0.45454545454545453
0.6873474526260301,1.0,0.45454545454545453
0.6506260794972433,1.0,0.4342105263157895
0.9888888888888889,0.9888888888888889,0.9888888888888889
0.5306122448979592,0.5306122448979592,0.5306122448979592
0.49324324324324326,0.49324324324324326,0.49324324324324326
0.6931001704894271,1.0,0.4591194968553459
0.6843192823641385,1.0,0.45185185185185184
0.6883720930232559,0.6883720930232559,0.6883720930232559
0.46153846153846156,0.46153846153846156,0.46153846153846156
0.5578231292517006,0.5578231292517006,0.5578231292517006
0.6919916343114795,1.0,0.4451219512195122
0.6839057753550761,1.0,0.46405228758169936
0.6422687346966938,1.0,0.4421768707482993
0.6942790284555863,1.0,0.46357615894039733
0.689701447935234,1.0,0.4375
0.7211538461538461,0.7211538461538461,0.7211538461538461
0.6958574212144244,1.0,0.4774193548387097
0.47096774193548385,0.47096774193548385,0.47096774193548385
0.665977031941798,1.0,0.4563758389261745
0.6495892479983347,0.9894736842105263,0.4588235294117647
0.6895576894059167,1.0,0.4482758620689655
0.6842204347260622,1.0,0.4431137724550898
0.5324675324675324,0.5324675324675324,0.5324675324675324
0.6896797839871149,1.0,0.4411764705882353
0.7026900660043615,1.0,0.4305555555555556
0.6701344779652146,1.0,0.4444444444444444
0.6714604562574376,1.0,0.46875
0.5316455696202531,0.5316455696202531,0.5316455696202531
0.5106382978723404,0.5106382978723404,0.5106382978723404
0.5033112582781457,0.5033112582781457,0.5033112582781457
0.669330872853061,1.0,0.46153846153846156
0.6733808414279407,0.9897959183673469,0.45695364238410596
0.6770506728676945,1.0,0.44360902255639095
0.7026304338858803,1.0,0.4583333333333333
0.9893617021276596,0.9893617021276596,0.9893617021276596
0.8333333333333334,0.8333333333333334,0.8333333333333334
0.5625,0.5625,0.5625
0.5909090909090909,0.5909090909090909,0.5909090909090909
0.6470588235294118,0.6470588235294118,0.6470588235294118
0.6923076923076923,0.6923076923076923,0.6923076923076923
0.5555555555555556,0.5555555555555556,0.5555555555555556
0.5833333333333334,0.5833333333333334,0.5833333333333334
0.685838318611731,1.0,0.39285714285714285
0.6944738755160275,1.0,0.4594594594594595
0.6789203192883104,1.0,0.44776119402985076
0.69227548427265,1.0,0.463768115942029
0.6339108950840369,1.0,0.2
0.6794258373205742,0.6794258373205742,0.6794258373205742
0.7184466019417476,0.7184466019417476,0.7184466019417476
0.6664515322961394,1.0,0.45454545454545453
0.6822769887281938,1.0,0.46616541353383456
0.8431372549019608,0.8431372549019608,0.8431372549019608
0.5511811023622047,0.5511811023622047,0.5511811023622047
0.6843232502072485,1.0,0.4689655172413793
0.6953493859557939,1.0,0.4726027397260274
0.679156631936449,1.0,0.45161290322580644
0.6692378348644163,1.0,0.47333333333333333
0.7065455312151886,1.0,0.47560975609756095
0.8223396644588504,1.0,0.6176470588235294
0.8449374060219726,1.0,0.6531531531531531
0.8591003013929513,0.9224806201550387,0.7764705882352941
0.8550207049907531,0.9402985074626866,0.7722222222222223
0.8334226858164948,0.9148936170212766,0.7604790419161677
0.8722686899131227,0.9219858156028369,0.8132530120481928
0.8582437279531665,0.9166666666666666,0.7973856209150327
0.8428991058809235,0.9629629629629629,0.71875
0.7078687423687423,1.0,0.0
0.8396030545994246,0.9642857142857143,0.71875
0.8403497235367975,1.0,0.7142857142857143
0.8381647276041079,0.9615384615384616,0.7096774193548387
0.8362385661290539,0.9629629629629629,0.71875
0.8640258001498305,0.9241379310344827,0.8136645962732919
0.8718774461617383,0.9142857142857143,0.8269230769230769
0.8445945945945946,0.8445945945945946,0.8445945945945946
0.8873239436619719,0.8873239436619719,0.8873239436619719
0.8694292505394041,0.9420289855072463,0.8220858895705522
0.8727467444896804,0.9333333333333333,0.8159509202453987
0.8598104840259113,1.0,0.75
0.8487714100914566,1.0,0.7058823529411765
0.8399112554112554,1.0,0.5833333333333334
0.8700500837455614,0.9236111111111112,0.81875
0.8352384308354012,0.8955223880597015,0.7374301675977654
0.8395061728395061,0.8395061728395061,0.8395061728395061
0.8618421052631579,0.8618421052631579,0.8618421052631579
0.7658791872620904,0.7658791872620904,0.7658791872620904
0.7384968870744629,0.7384968870744629,0.7384968870744629
0.7681521637413815,0.8421532267441654,0.700976800976801
0.89619341563786,0.89619341563786,0.89619341563786
