Mean Precision,Max Precision,Min Precision
0.6820813489798858,1.0,0.44525547445255476
0.7267300336981779,0.9879518072289156,0.47368421052631576
0.7193402787376371,1.0,0.44966442953020136
0.7211588804827456,1.0,0.4682080924855491
0.8682504477912211,1.0,0.7009803921568627
0.7425618310094255,0.9886363636363636,0.4074074074074074
0.8485941214630119,1.0,0.7067307692307693
0.8671779717050088,0.9465648854961832,0.7941176470588235
0.8631596631303039,0.9333333333333333,0.7831325301204819
0.9742894078843745,1.0,0.8333333333333334
0.9968932806298858,1.0,0.9675324675324676
0.796087526627577,0.8483896383412121,0.7456080185098815
0.8313052296103143,0.8313052296103143,0.8313052296103143
0.8498168498168498,0.8498168498168498,0.8498168498168498
0.8350168350168351,0.8350168350168351,0.8350168350168351
0.923076923076923,0.923076923076923,0.923076923076923
0.8023569023569023,0.8023569023569023,0.8023569023569023
0.8793227148801837,0.8793227148801837,0.8793227148801837
0.8933333333333332,0.8933333333333332,0.8933333333333332
0.8903857819195957,0.9300936760342701,0.8582092401680032
0.9082407257109211,0.9533333333333335,0.8740505911102305
0.8214916416126505,0.8719487791087314,0.7734123412341235
0.9243681140350177,0.9602602602602603,0.871225845410628
0.9259318454443398,0.9574545347741225,0.8923961840628506
0.836012406620312,0.836012406620312,0.836012406620312
0.842076943771859,0.842076943771859,0.842076943771859
0.7238607123295714,0.7238607123295714,0.7238607123295714
0.9832989965663232,0.9832989965663232,0.9832989965663232
0.88307486468406,0.88307486468406,0.88307486468406
0.9307492992250254,0.9307492992250254,0.9307492992250254
0.8970835859096113,0.8970835859096113,0.8970835859096113
0.8974662574034211,0.9373110854774799,0.8602560987954245
0.8929228607101015,0.9263066732205135,0.8519733692730312
